#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.80930000000000000e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.48820200395587818e+01  -8.32994252434192539e+00  5.94215509853558199e+00   +7.24582225028074234e-01  +4.59908995356451800e-01  +1.16435782706504494e+01  +1.32532695231739126e+02  +2.80725467308581585e+02  +2.77530789705404629e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.75719999999999992e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.45340423859236267e+01  -8.67980262394089586e+00  5.77497117801937954e+00   +7.32789744130876164e-01  +4.35467210291505979e-01  +1.13454549540852838e+01  +1.32535829960364055e+02  +2.80596185008013663e+02  +2.74032186106349968e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.73460000000000001e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.43830962252296786e+01  -8.83156535428517131e+00  5.70244993802578737e+00   +7.36482506187328245e-01  +4.24737562869517582e-01  +1.12138605647966862e+01  +1.32537346845100217e+02  +2.80535009874331649e+02  +2.72551674240042587e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79170000000000016e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.47644690471599631e+01  -8.44812942938879274e+00  5.88567838066446569e+00   +7.27309249450134532e-01  +4.51695182955723862e-01  +1.15436202003035451e+01  +1.32533702989994538e+02  +2.80683484323933783e+02  +2.76336156496497722e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.72800000000000011e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.43390146030801162e+01  -8.87588544367774546e+00  5.68127116882412064e+00   +7.37577052836011271e-01  +4.21588224937407607e-01  +1.11751378084655304e+01  +1.32537810412429707e+02  +2.80516493083958437e+02  +2.72123824976170681e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69920000000000009e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.41466584337002246e+01  -9.06928219739080355e+00  5.58885472139865591e+00   +7.42442839191617021e-01  +4.07755767345390929e-01  +1.10044721473520148e+01  +1.32539954021286860e+02  +2.80431941682722027e+02  +2.70281838722861096e+02  +8.93663504665310029e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69450000000000003e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.41152669755028128e+01  -9.10084347317036446e+00  5.57377287060352966e+00   +7.43251229985201434e-01  +4.05483847746734016e-01  +1.09763417545381987e+01  +1.32540323903083134e+02  +2.80417528730068454e+02  +2.69985221910904329e+02  +8.93663504665310029e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.79800000000000004e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.49158223964886716e+01  -8.82933809656125490e+00  6.51589622519419898e+00   +7.44586019755448802e-01  +4.56540025785194481e-01  +1.23919382281907122e+01  +1.32533850259976106e+02  +2.84200731002831731e+02  +2.79254531227437269e+02  +8.71440333113414880e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.77010000000000005e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.47277817040648387e+01  -9.01011942954245804e+00  6.41690224740612791e+00   +7.48774591538010736e-01  +4.43081814165448451e-01  +1.22174763061069029e+01  +1.32535839777256712e+02  +2.84142230891928648e+02  +2.77268432621706836e+02  +8.71440333113414880e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.74720000000000013e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.45734400604624881e+01  -9.15850267417577868e+00  6.33564912585248052e+00   +7.52298958710017840e-01  +4.31953467060235019e-01  +1.20724940961959266e+01  +1.32537574292144086e+02  +2.84091455459039594e+02  +2.75659858651097068e+02  +8.71440333113414880e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.80930000000000000e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.49919822468252022e+01  -8.75611841689502945e+00  6.55599056028398941e+00   +7.42920970363546984e-01  +4.61961829021414638e-01  +1.24619731758566203e+01  +1.32533079240511483e+02  +2.84223466001876488e+02  +2.80066734010240225e+02  +8.71440333113414880e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.75719999999999992e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.46408381581054385e+01  -9.09370649748000659e+00  6.37113083832132077e+00   +7.50750043815865409e-01  +4.36822544120638090e-01  +1.21360144061749704e+01  +1.32536804796091843e+02  +2.84113952956665571e+02  +2.76359814952891497e+02  +8.71440333113414880e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.73460000000000001e+01  -9.94192625144035220e+07  1.10089361104632452e+08   -8.71046192391923250e+03  -3.44885184574323702e+01  -9.24014585681245393e+00  6.29094216814173812e+00   +7.54273047755339210e-01  +4.25796473047436397e-01  +1.19919727979885344e+01  +1.32538572200236388e+02  +2.84062352188355021e+02  +2.74783548661039333e+02  +8.71440333113414880e+01  
